Designator,Mid X,Mid Y,Rotation,Layer
BT1,90.985,-142.5,0.0,bottom
D1,95.73,-127.0,0.0,top
D2,96.995,-115.0,0.0,top
D3,87.23,-127.0,0.0,top
D4,85.73,-115.0,0.0,top
D5,79.27,-84.0,0.0,top
M1,104.0,-95.995,0.0,bottom
Q1,69.5,-133.135,0.0,bottom
R1,92.0,-77.0,0.0,bottom
R2,69.19,-120.7344,0.0,bottom
R3,69.19,-115.7344,0.0,bottom
SW1,114.75,-117.25,0.0,bottom
